date,region,industry,customers,leads,conversions,revenue,expenses,satisfaction,churn_rate
2024-01-01,Edmonton,Retail,29,52,25,7970.5,5471.33,4.21,0.0493
2024-01-01,Calgary,Retail,31,71,32,7506.42,5514.37,4.29,0.0395
2024-01-01,Edmonton,Restaurant,23,55,19,4817.23,3240.31,4.47,0.0522
2024-01-01,Calgary,Restaurant,23,42,17,4605.16,2529.15,4.69,0.0477
2024-01-01,Edmonton,Healthcare,24,44,17,5466.89,3169.65,3.98,0.0667
2024-01-01,Calgary,Healthcare,30,61,21,8419.73,5969.59,4.39,0.059
2024-01-01,Edmonton,Finance,32,75,33,9821.75,6675.05,4.07,0.0435
2024-01-01,Calgary,Finance,31,68,29,10078.95,6439.75,4.22,0.0656
2024-01-01,Edmonton,E-commerce,34,64,23,9200.58,5812.1,3.87,0.0346
2024-01-01,Calgary,E-commerce,31,68,30,8990.05,6104.27,4.33,0.0494
2024-02-01,Edmonton,Retail,30,71,26,6813.71,3808.25,4.07,0.0552
2024-02-01,Calgary,Retail,33,65,26,9273.79,5749.88,3.78,0.029
2024-02-01,Edmonton,Restaurant,19,37,18,4206.67,2889.72,4.09,0.0683
2024-02-01,Calgary,Restaurant,22,46,15,4108.45,2997.31,4.28,0.0593
2024-02-01,Edmonton,Healthcare,25,52,21,6099.39,4215.21,4.56,0.0507
2024-02-01,Calgary,Healthcare,26,52,16,5771.61,3715.4,4.53,0.0336
2024-02-01,Edmonton,Finance,29,65,18,8134.46,4985.15,3.83,0.0367
2024-02-01,Calgary,Finance,34,86,34,10398.61,6686.81,3.67,0.0598
2024-02-01,Edmonton,E-commerce,30,73,34,8903.69,4848.4,4.14,0.0364
2024-02-01,Calgary,E-commerce,30,71,31,8440.34,5726.59,4.42,0.046
2024-03-01,Edmonton,Retail,26,64,28,6936.08,4285.76,3.96,0.0718
2024-03-01,Calgary,Retail,33,61,18,8497.42,6258.94,3.89,0.032
2024-03-01,Edmonton,Restaurant,24,52,18,6657.75,4844.33,4.23,0.0476
2024-03-01,Calgary,Restaurant,28,71,23,6818.88,4058.03,4.58,0.086
2024-03-01,Edmonton,Healthcare,27,51,17,6939.86,5022.09,4.33,0.0479
2024-03-01,Calgary,Healthcare,29,53,22,6293.88,3702.24,3.69,0.0541
2024-03-01,Edmonton,Finance,29,68,29,7182.14,5091.18,4.19,0.0463
